row_id,INT NOT NULL AUTO_INCREMENT,
run_datetime,DATETIME NOT NULL,KEY
startinterval_datetime,DATETIME,
intervention,"NUMERIC(2,0)",
totalobjective,"NUMERIC(27,10)",
nonphysicallosses,"NUMERIC(1,0)",
totalareagenviolation,"NUMERIC(15,5)",
totalinterconnectorviolation,"NUMERIC(15,5)",
totalgenericviolation,"NUMERIC(15,5)",
totalramprateviolation,"NUMERIC(15,5)",
totalunitmwcapacityviolation,"NUMERIC(15,5)",
total5minviolation,"NUMERIC(15,5)",
totalregviolation,"NUMERIC(15,5)",
total6secviolation,"NUMERIC(15,5)",
total60secviolation,"NUMERIC(15,5)",
totalenergyconstrviolation,"NUMERIC(15,5)",
totalenergyofferviolation,"NUMERIC(15,5)",
totalasprofileviolation,"NUMERIC(15,5)",
totalfaststartviolation,"NUMERIC(15,5)",
lastchanged,DATETIME,KEY
